"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","65","9","1","Lowest",,,"5","0","0","26","2020, 2021, 2022, more","2011","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","87","4","1","Lowest",,,"1","0","0","28","2020, 2021, 2022, more","2005","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"7","8","0","15","2016","2021","7"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"51","47","25","82","2000","1997","25"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","15",,,"500",,"28","42","39","15","100","1","8","Highest",,,"3","0","0","15","2018, 2019, 2021, more","2022","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","96",,,"110","102","87","83","76","2","53","9","10",,,,"87","94","0","138","2015","2011","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","2",,,"18","33","3","4","4","-4","43","5","4",,,,"11","6","0","40","2014, 2015, 2016","2017","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","90","2","1","Lowest",,,"1","0","0","7","2020, 2021, 2022, more","2014","11"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","20",,,"222","222",,"91","100","11","90","2","10","2nd Highest",,,"9","9","0","21","2016","2013","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","28",,,"122","117","62","57","56","4","65","7","12",,,,"23","24","0","43","2009","2013","18"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","32",,,"178","229","62","78","76","18","81","4","12",,,,"18","14","0","37","2014, 2015, 2016","2008, 2012","17"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"0","0","0","5","2019, 2020, 2021, more","2001","69"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","64",,,"102","100","100","83","82","0","50","11","11",,,,"63","64","38","86","2015","2006, 2011","21"
"Aniak","2065	","Alaska","SNOTEL","Bethel","80","61.58337","-159.57708","190305020504	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","89","2","1","Lowest",,,"1","0","0","14","2020, 2021, 2022, more","2013","10"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6010","42.87007","-122.16518","180102030101	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"73","73","8","129","2015","2011","21"
"Anthony Lake","1245	","Oregon","SNOLITE","Baker","7160","44.9591","-118.22668","170502030503	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","56",,,"137","127","97","72","67","12","75","3","7",,,,"41","44","2","63","2015","2017","9"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10027","37.33067","-105.06766","110200060406	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","65","8","1","Lowest",,,"3","0","0","28","2020, 2021, 2022, more","2005","21"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10976","40.35098","-106.38141","140100010604	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","61",,,"100","95","84","78","77","-3","47","11","10",,,,"61","64","19","102","2003","2011","20"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","36",,,"212","450","71","63","63","28","89","3","16",,,,"17","8","0","59","2016, 2018, 2021, more","2011","19"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,,"0","0","0","100","1","1",,,,"0","0","0","0","2017, 2021, 2022, more","2017, 2021, 2022, more","5"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2020, 2021, 2022, more","2020, 2021, 2022, more","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"43","43","25","59","2011","2018","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","62",,,"109","115","77","66","70","8","64","10","17",,,,"57","54","9","105","2004","2017","26"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"93","94","56","112","2016","1999","19"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","70",,,"103","100","82","78","78","0","55","11","12",,,,"68","70","0","121","2000","2011","23"
"Baker Butte","308	","Arizona","SNOTEL","Coconino","7363","34.45654","-111.40651","150602030206	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","94","2","1","Lowest",,,"0","0","0","1","2020, 2021, 2022, more","2004","19"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7752","34.45552","-111.38262","150602030103	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"3","0","0","30","2018, 2020, 2021, more","2010","12"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2020, 2021, 2022, more","2020, 2021, 2022, more","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","54",,,"96","100","83","50","50","0","33","3","2","2nd Lowest",,,"56","54","49","64","2021","2019","4"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","61",,,"100","103","92","82","88","2","67","7","13",,,,"61","59","38","102","2006","2011","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9221","33.97845","-109.50357","150200010203	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","1",,,,,"5","2","3","1","94","2","18","2nd Highest",,,"0","0","0","7","2019, 2020, 2021, more","2010","19"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","43",,,"130","130","74","69","72","10","80","5","15",,,,"33","33","0","74","2015","2011","21"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"44","44","12","86","2015","2011","20"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6397","34.86142","-111.60497","150602020601	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","9"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","48",,,"94","96","92","76","80","-2","42","12","9",,,,"51","50","33","74","2004","2009","20"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"26","26","0","49","2007, 2008, 2016","2011","15"
"Barney Creek","1246	","Oregon","SNOLITE","Baker","5830","44.36069","-118.31114","170502020202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"0","0","0","4","2018, 2020, 2021, more","2019","8"
"Barrow WSO Airport","0546	","Alaska","ACIS","North Slope","30","71.3","-156.78333","190602020203	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"10","9","2","29","1902","1948","83"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","25",,,"96","83","49","36","38","-5","38","6","4",,,,"26","30","1","44","2015","2017","9"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","32",,,"123","128","62","86","89","7","78","5","15",,,,"26","25","13","42","2021","2011","19"
"Bassoo Peak","1190	","Montana","SNOLITE","Sanders","5150","47.85562","-114.75841","170102120105	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"1","0","0","4","2018, 2020, 2021","2019","4"
